prod_id|pack_id|price
20415|1|19.2900
20431|1|17.7800
20432|1|20.0100
20439|1|8.4500
20470|1|19.6600
20476|1|0.6200
20655|1|18.8500
20701|1|28.6400
20762|1|13.3600
20795|1|19.7300
20819|1|2.3300
20848|1|25.3700
20918|1|0.6700
20924|1|76.7778
20941|1|76.7800
20950|1|10.5300
20977|1|68.0100
21035|1|68.0100
21050|1|68.0100
2130|1|101.0000
21349|1|53.2600
21351|1|53.2600
21352|1|53.2600
21353|1|53.2600
21354|1|53.2600
21355|1|53.2600
21356|1|53.2600
21358|1|53.2600
21359|1|53.2600
21360|1|53.2600
21361|1|53.2600
21363|1|53.2600
21500|1|53.2600
21824|1|93.7195
21833|2|66693.7195
21901|1|7.1590
21902|1|7.2692
22077|1|2.1800
22115|1|23.4052
22126|1|5.6694
22262|1|5.7500
22331|1|16.7580
22361|1|12.7700
22607|1|68.0100
22615|1|1.1400
22667|1|2.5200
22685|1|68.4596
22686|1|4.2600
22687|1|3.4300
22725|1|190.6223
22768|1|1.9100
22773|1|2.5200
22814|1|8.4355
23286|1|4.3200
23311|1|10.9445
23337|1|3.6400
23426|1|3.5700
23473|1|9.5600
23486|1|14.0900
23789|1|0.0374
23984|1|9.8656
23985|1|9.8700
24094|1|2.6025
24129|1|3.2829
24172|1|7.6715
24201|1|6.9200
24204|1|6.5324
24208|1|6.5324
24238|1|85.4015
24263|1|5.8100
24264|1|7.1600
24403|1|16.5941
24465|1|33.8625
24519|1|2.8400
24713|1|9.8656
24741|1|3030.0000
24790|1|16.1300
24821|1|70.5000
24830|1|64.1400
24831|1|44.5000
24832|1|34.5500
24926|1|6.5300
24952|1|19.0700
25121|1|0.6568
25122|1|0.7300
25126|1|28.3500
25129|1|1.0800
25300|1|23.3560
25371|1|35.3400
25409|1|54.7300
25412|1|135.5094
25414|1|23.9300
25415|1|27.7100
25420|1|35.7080
25734|1|3.2700
25772|1|20.9800
25827|1|6.0375
25834|1|6.0375
25938|1|3.3100
26083|1|3.5910
26145|1|2.5300
26212|1|5.6300
26238|1|33.8625
26257|1|18.6100
26313|1|35.3400
26348|1|44.7100
26354|1|48.3000
26379|1|11.1855
26389|1|11.9000
26413|1|10.0300
26465|1|3.9100
26587|1|9.9600
26588|1|9.9600
26589|1|7.9301
26599|1|76.7800
26603|1|5.0100
26611|1|4.0300
26616|1|12.1800
26617|1|12.1800
26656|1|9.9600
26789|1|3.8600
26818|1|12.1800
26900|1|11.0100
26902|1|61.1700
26912|1|14.0300
26913|1|14.0300
26977|1|115.8500
27079|1|7.5100
27171|1|9.7700
27240|1|6.5324
27254|1|12.4700
27274|1|4.0300
27281|1|23.2900
