pack_id|prod_id|descr|pack|weight|volume|precision
2|61846|кор/14|14.0|0.0|0.0|
1|61847|шт/1|1.0|0.0|0.0|
1|61848|шт/1|1.0|0.0|0.0|
2|61848|кор/20|20.0|0.0|0.0|
1|61849|шт/1|1.0|0.0|0.0|
2|61849|кор/6|6.0|0.0|0.0|
1|61850|шт/1|1.0|0.0|0.0|
2|61850|кор/16|16.0|0.0|0.0|
1|61851|шт/1|1.0|0.0|0.0|
2|61851|кор/16|16.0|0.0|0.0|
1|61852|шт/1|1.0|0.0|0.0|
1|61853|шт/1|1.0|0.0|0.0|
2|61853|кор/6|6.0|0.0|0.0|
1|61854|шт/1|1.0|0.0|0.0|
1|61855|шт/1|1.0|0.0|0.0|
2|61855|кор/24|24.0|0.0|0.0|
1|61856|шт/1|1.0|0.0|0.0|
2|61856|кор/24|24.0|0.0|0.0|
1|61857|шт/1|1.0|0.0|0.0|
2|61857|кор/24|24.0|0.0|0.0|
1|61858|шт/1|1.0|0.0|0.0|
1|61859|шт/1|1.0|0.0|0.0|
2|61859|кор/12|12.0|0.0|0.0|
1|61860|шт/1|1.0|0.0|0.0|
2|61860|кор/6|6.0|0.0|0.0|
1|61861|шт/1|1.0|0.0|0.0|
2|61861|кор/6|6.0|0.0|0.0|
1|61862|шт/1|1.0|0.0|0.0|
1|61863|шт/1|1.0|0.0|0.0|
2|61863|кор/12|12.0|0.0|0.0|
1|61864|шт/1|1.0|0.0|0.0|
1|61865|шт/1|1.0|0.0|0.0|
2|61865|кор/12|12.0|0.0|0.0|
1|61866|шт/1|1.0|0.0|0.0|
2|61866|кор/20|20.0|0.0|0.0|
1|61867|шт/1|1.0|0.0|0.0|
2|61867|кор/4|4.0|0.0|0.0|
1|61868|шт/1|1.0|0.0|0.0|
2|61868|кор/18|18.0|0.0|0.0|
1|61869|шт/1|1.0|0.0|0.0|
2|61869|кор/6|6.0|0.0|0.0|
1|61870|шт/1|1.0|0.0|0.0|
2|61870|кор/6|6.0|0.0|0.0|
1|61871|шт/1|1.0|0.0|0.0|
2|61871|кор/26|26.0|0.0|0.0|
1|61872|шт/1|1.0|0.0|0.0|
2|61872|кор/26|26.0|0.0|0.0|
1|61873|шт/1|1.0|0.0|0.0|
2|61873|кор/36|36.0|0.0|0.0|
1|61874|шт/1|1.0|0.0|0.0|
1|61875|шт/1|1.0|0.0|0.0|
2|61875|кор/20|20.0|0.0|0.0|
1|61876|шт/1|1.0|0.0|0.0|
2|61876|кор/12|12.0|0.0|0.0|
1|61877|шт/1|1.0|0.0|0.0|
1|61878|шт/1|1.0|0.0|0.0|
2|61878|кор/14|14.0|0.0|0.0|
1|61879|шт/1|1.0|0.0|0.0|
1|61880|шт/1|1.0|0.0|0.0|
1|61881|шт/1|1.0|0.0|0.0|
1|61882|шт/1|1.0|0.0|0.0|
2|61882|кор/120|120.0|0.0|0.0|
1|61883|шт/1|1.0|0.0|0.0|
2|61883|кор/120|120.0|0.0|0.0|
1|61884|шт/1|1.0|0.0|0.0|
2|61884|кор/120|120.0|0.0|0.0|
1|61885|шт/1|1.0|0.0|0.0|
2|61885|кор/120|120.0|0.0|0.0|
1|61886|шт/1|1.0|0.0|0.0|
2|61886|кор/576|576.0|0.0|0.0|
1|61887|шт/1|1.0|0.0|0.0|
1|61888|шт/1|1.0|0.0|0.0|
1|61889|шт/1|1.0|0.0|0.0|
1|61890|шт/1|1.0|0.0|0.0|
1|61891|шт/1|1.0|0.0|0.0|
2|61891|кор/50|50.0|0.0|0.0|
1|61893|шт/1|1.0|0.0|0.0|
2|61893|кор/20|20.0|0.0|0.0|
1|61894|шт/1|1.0|0.0|0.0|
2|61894|кор/24|24.0|0.0|0.0|
1|61895|шт/1|1.0|0.0|0.0|
2|61895|кор/6|6.0|0.0|0.0|
1|61896|шт/1|1.0|0.0|0.0|
2|61896|кор/24|24.0|0.0|0.0|
1|61897|шт/1|1.0|0.0|0.0|
2|61897|кор/84|84.0|0.0|0.0|
1|61898|шт/1|1.0|0.0|0.0|
2|61898|кор/8|8.0|0.0|0.0|
1|61899|шт/1|1.0|0.0|0.0|
2|61899|кор/4|4.0|0.0|0.0|
1|61900|шт/1|1.0|0.0|0.0|
2|61900|кор/2|2.0|0.0|0.0|
1|61901|шт/1|1.0|0.0|0.0|
2|61901|кор/4|4.0|0.0|0.0|
1|61902|шт/1|1.0|0.0|0.0|
2|61902|кор/6|6.0|0.0|0.0|
1|61903|шт/1|1.0|0.0|0.0|
2|61903|кор/6|6.0|0.0|0.0|
1|61904|шт/1|1.0|0.0|0.0|
2|61904|кор/6|6.0|0.0|0.0|
1|61905|шт/1|1.0|0.0|0.0|
2|61905|кор/6|6.0|0.0|0.0|
1|61906|шт/1|1.0|0.0|0.0|
2|61906|кор/6|6.0|0.0|0.0|
1|61907|шт/1|1.0|0.0|0.0|
2|61907|кор/6|6.0|0.0|0.0|
1|61908|шт/1|1.0|0.0|0.0|
2|61908|кор/6|6.0|0.0|0.0|
1|61909|шт/1|1.0|0.0|0.0|
2|61909|кор/12|12.0|0.0|0.0|
1|61910|шт/1|1.0|0.0|0.0|
2|61910|кор/6|6.0|0.0|0.0|
1|61911|шт/1|1.0|0.0|0.0|
1|61912|шт/1|1.0|0.0|0.0|
1|61913|шт/1|1.0|0.0|0.0|
2|61913|кор/6|6.0|0.0|0.0|
1|61914|шт/1|1.0|0.0|0.0|
2|61914|кор/6|6.0|0.0|0.0|
1|61915|шт/1|1.0|0.0|0.0|
2|61915|кор/12|12.0|0.0|0.0|
1|61916|шт/1|1.0|0.0|0.0|
2|61916|кор/12|12.0|0.0|0.0|
1|61917|шт/1|1.0|0.0|0.0|
2|61917|кор/12|12.0|0.0|0.0|
1|61918|шт/1|1.0|0.0|0.0|
2|61918|кор/4|4.0|0.0|0.0|
1|61919|шт/1|1.0|0.0|0.0|
2|61919|кор/10|10.0|0.0|0.0|
1|61920|шт/1|1.0|0.0|0.0|
2|61920|кор/10|10.0|0.0|0.0|
1|61921|шт/1|1.0|0.0|0.0|
1|61922|шт/1|1.0|0.0|0.0|
2|61922|кор/72|72.0|0.0|0.0|
1|61923|шт/1|1.0|0.0|0.0|
2|61923|кор/144|144.0|0.0|0.0|
1|61924|шт/1|1.0|0.0|0.0|
2|61924|кор/24|24.0|0.0|0.0|
1|61925|шт/1|1.0|0.0|0.0|
2|61925|кор/144|144.0|0.0|0.0|
1|61926|шт/1|1.0|0.0|0.0|
2|61926|кор/24|24.0|0.0|0.0|
1|61927|шт/1|1.0|0.0|0.0|
2|61927|кор/144|144.0|0.0|0.0|
1|61928|шт/1|1.0|0.0|0.0|
2|61928|кор/144|144.0|0.0|0.0|
1|61929|шт/1|1.0|0.0|0.0|
2|61929|кор/12|12.0|0.0|0.0|
1|61930|шт/1|1.0|0.0|0.0|
2|61930|кор/12|12.0|0.0|0.0|
1|61931|шт/1|1.0|0.0|0.0|
